vehicle_id,v_out_of_service,v_maintenance,device_id,transmitting_dur,not_transmitting_dur,transmission_level,report_start_at,updated_at
47,0,0,3098,0,86400,2,2023-03-31 22:00:00,2023-04-01 22:18:07.999522
12,0,0,2457,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
18,0,0,2707,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
20,0,0,2715,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
28,0,0,2616,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
30,0,0,2645,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
32,0,0,2702,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
34,0,0,2705,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
36,0,0,2464,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
43,0,0,2611,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
45,0,0,2634,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
50,0,0,2632,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
55,0,0,2466,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
56,0,0,2689,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
58,0,0,2454,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
60,0,0,2732,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
63,0,0,2690,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
64,0,0,2459,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
65,0,0,2628,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
69,0,0,2455,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
70,0,0,2461,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
72,0,0,2640,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
73,0,0,2468,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
74,0,0,2696,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
76,0,0,2453,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
79,0,0,2630,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
83,0,0,2615,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
84,0,0,2439,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
88,0,0,2609,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
89,0,0,2639,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
91,0,1,2642,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
95,0,0,2627,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
96,0,0,2620,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
98,0,0,2619,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
99,0,0,2733,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
101,0,0,2432,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
105,0,0,2731,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
106,0,0,2718,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
108,0,0,2429,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
109,0,0,2431,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
110,0,0,2618,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
111,0,0,2442,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
113,0,0,2700,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
115,0,0,2706,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
117,0,0,,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
119,0,0,2623,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
120,0,0,2610,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
127,0,0,2423,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
128,0,0,2714,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
133,0,0,,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
134,0,0,,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
137,0,0,,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
138,0,0,,0,86400,2,2023-03-31 11:00:00,2023-04-01 11:25:26.280400
44,0,0,3612,0,86400,2,2023-03-30 22:00:00,2023-03-31 22:18:32.569650
45,0,0,3573,0,86400,2,2023-03-30 22:00:00,2023-03-31 22:18:32.569650
46,0,0,3572,0,86400,2,2023-03-30 22:00:00,2023-03-31 22:18:32.569650
47,0,0,3098,0,86400,2,2023-03-30 22:00:00,2023-03-31 22:18:32.569650
12,0,0,2457,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
18,0,0,2707,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
20,0,0,2715,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
28,0,0,2616,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
30,0,0,2645,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
31,0,0,2716,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
32,0,0,2702,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
34,0,0,2705,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
36,0,0,2464,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
43,0,0,2611,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
45,0,0,2634,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
50,0,0,2632,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
55,0,0,2466,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
56,0,0,2689,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
58,0,0,2454,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
60,0,0,2732,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
63,0,0,2690,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
65,0,0,2628,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
67,0,0,2456,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
69,0,0,2455,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
70,0,0,2461,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
72,0,0,2640,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
73,0,0,2468,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
74,0,0,2696,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
76,0,0,2453,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
79,0,0,2630,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
83,0,0,2615,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
84,0,0,2439,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
88,0,0,2609,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
89,0,0,2639,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
91,0,1,2642,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
95,0,0,2627,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
96,0,0,2620,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
98,0,0,2619,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
99,0,0,2733,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
101,0,0,2432,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
105,0,0,2731,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
106,0,0,2718,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
108,0,0,2429,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
109,0,0,2431,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
110,0,0,2618,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
111,0,0,2442,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
113,0,0,2700,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
115,0,0,2706,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
117,0,0,,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
119,0,0,2623,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
120,0,0,2610,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
127,0,0,2423,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
128,0,0,2714,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
133,0,0,,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
134,0,0,,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
137,0,0,,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
138,0,0,,0,86400,2,2023-03-30 11:00:00,2023-03-31 11:32:40.551306
44,0,0,3612,0,86400,2,2023-03-29 22:00:00,2023-03-30 22:17:47.561554
45,0,0,3573,0,86400,2,2023-03-29 22:00:00,2023-03-30 22:17:47.561554
46,0,0,3572,0,86400,2,2023-03-29 22:00:00,2023-03-30 22:17:47.561554
47,0,0,3098,0,86400,2,2023-03-29 22:00:00,2023-03-30 22:17:47.561554
12,0,0,2457,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
15,0,0,2440,366,86034,0,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
18,0,0,2707,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
20,0,0,2715,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
28,0,0,2616,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
30,0,0,2645,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
31,0,0,2716,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
32,0,0,2702,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
34,0,0,2705,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
36,0,0,2464,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
43,0,0,2611,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
45,0,0,2634,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
50,0,0,2632,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
55,0,0,2466,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
56,0,0,2689,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
58,0,0,2454,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
60,0,0,2732,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
63,0,0,2690,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
65,0,0,2628,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
69,0,0,2455,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
70,0,0,2461,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
72,0,0,2640,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
74,0,0,2696,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
76,0,0,2453,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
79,0,0,2630,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
83,0,0,2615,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
84,0,0,2439,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
88,0,0,2609,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
89,0,0,2639,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
91,0,1,2642,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
95,0,0,2627,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
96,0,0,2620,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
98,0,0,2619,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
99,0,0,2733,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
101,0,0,2432,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
105,0,0,2731,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
106,0,0,2718,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
108,0,0,2429,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
109,0,0,2431,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
110,0,0,2618,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
111,0,0,2442,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
113,0,0,2700,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
115,0,0,2706,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
117,0,0,,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
119,0,1,2623,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
120,0,0,2610,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
127,0,0,2423,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
128,0,0,2714,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
133,0,0,,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
134,0,0,,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
137,0,0,,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
138,0,0,,0,86400,2,2023-03-29 11:00:00,2023-03-30 11:30:05.263185
44,0,0,3612,0,86400,2,2023-03-28 22:00:00,2023-03-29 22:18:02.898747
45,0,0,3573,0,86400,2,2023-03-28 22:00:00,2023-03-29 22:18:02.898747
46,0,0,3572,0,86400,2,2023-03-28 22:00:00,2023-03-29 22:18:02.898747
